kata_imbuhan,kata_dasar
pelan-pelan, pelan
penjagal, jagal
perekam, rekam
pemiliknya, milik
pemugar, pugar
penginapan, inap
penuduh, tuduh
pemasangan, pasang
pelapis, lap
pendebitan, debit
pendaging, daging
pipinya, pipi
pendarahan, darah
pembekukan, beku
pengasahan, asah
petunang, tunang
pelantaran, pelantar
pembelokan, belok
penginventarisan, inventaris
pemeram, peram
pergunjingan, gunjing
pencapai, capai
penasionalan, nasional
petikan, peti
penciptaannya, cipta
penandu, nandu
pengibulan, ibul
pertambangan, tambang
penokok, tokok
persetubuhan, tubuh
pembalap, balap
penyesaran, sesar
perburuan, buru
penyakat, sakat
penandak, tandak
penetak, tetak
pengakuisisi, akuisisi
pengampuh, ampuh
pistolnya, pistol
pemasar, pasar
pemanenan, panen
pengkritik, kritik
permasalahan, masalah
pengibul, ibul
pembicara, bicara
pertaliannya, tali
persembahan, sembah
pereli, reli
pengekor, ekor
pembekalan, bekal
pengetesan, ketes
pembelah, belah
penuntut, tuntut
pembubaran, bubar
pengacum, acum
pengemasan, emas
penjagaan, jaga
pemberontakan, ronta
peroleh, oleh
penghitaman, hitam
peluruhan, peluruh
pengasapan, asap
pengeklaim, klaim
perampas, ampas
pengarih, arih
pencukur, cukur
pemecatan, pecat
peruntukannya, untuk
penduduk, duduk
pendahulu, dahulu
perhiasan, hias
persemakmuran, makmur
perabaan, aba
pelakon, lakon
penyisihan, sisih
pendegradasi, degradasi
pengakap, kakap
penilikan, tilik
penunjukan, tunjuk
pencemas, cemas
pengadil, adil
penginterupsi, interupsi
pijak-pijak, pijak
parangnya, parang
pewayangan, wayang
pengumpak, umpak
penapai, tapai
pengislaman, islam
pengejaran, kejar
pemacekan, mace
pahami, paham
pencahaya, cahaya
penabungan, tabung
pengarangnya, arang
penumpu, tumpu
perongkosan, ongkos
perwatakan, watak
pamanku, paman
pemuji, puji
penyorak, sorak
pencatat, catat
perpaduan, padu
pencederaan, cedera
pembeda, beda
pendepositoan, deposito
pengklorinan, klorin
pemufakatan, mufakat
perusahaannya, usaha
pemotongan, potong
penggeropyokan, geropyok
penjelasan, jelas
penyelaan, sela
penyentuhan, sentuh
pesolek, solek
percahayaan, cahaya
pertenggangan, tenggang
pereda, reda
pengemukaan, muka
peralihan, alih
pembentuk, bentuk
penambak, tambak
pengorganisasian, organisasi
petembak, tembak
pendapatan, dapat
pengoksidasian, oksidasi
pedasnya, pedas
pemakalah, maka
perjalan, jalan
pengaudit, audit
pengumandang, kumandang
pengomprong, omprong
pengutik, utik
pemeliharaan, pelihara
pemangsaan, mangsa
pesenam, senam
penstabil, stabil
pembimbingan, bimbing
penjurusan, jurus
pengamatanku, amat
penggorohan, goroh
pemilinan, pilin
perkomputeran, komputer
pecutnya, pecut
pekerjaan, kerja
pengaktualan, aktual
pengudaraan, udara
peruratan, urat
pembedaan, beda
pemijat, pijat
pencarteran, carter
pendendaan, denda
penindasan, tindas
penyongsong, songsong
penutur, tutur
penyensus, sensus
pemata-mataan, mata
pengamanan, aman
pengaplikasian, aplikasi
pengenceran, encer
pengacara, acara
perdayaan, daya
penyalib, salib
pemanusiaan, manusia
penerjemahan, terjemah
penyunggingan, sungging
pencakarnya, cakar
pencanang, canang
pitingan, piting
perpegangan, pegang
penginti, inti
penyendirian, sendiri
pengejawantahan, ejawantah
pemusat, pusat
pesilat, silat
perminyakan, minyak
payungnya, payung
pembebatan, bebat
penyemangatan, semangat
pengorbanannya, korban
perturutan, turut
pengasah, asah
pantatnya, pantat
perbudakan, budak
pertumbuhannya, tumbuh
pendeklarasian, deklarasi
pelaburan, pelabur
patrian, patri
penyeret, seret
pemercepat, cepat
penghalusan, halus
pencungkil, cungkil
pelambatan, lambat
pendomplengan, dompleng
pertunasan, tunas
pelarungan, larung
poleng-poleng, poleng
pegangannya, pegang
pembengkokan, bengkok
pengoreksian, koreksi
pengobeng, obeng
pencolengan, coleng
pancurannya, pancur
pendesakan, desa
pencoretan, coret
pergocohan, gocoh
pencelupan, celup
pemuseuman, museum
pengambrukan, ambruk
pengimbang, imbang
pengindah, indah
penyembuhan, sembuh
pemulia, mulia
perpusingan, pusing
pengesat, kesat
perlombaan, lomba
penjepret, jepret
peningkatan, tingkat
penggerayangan, gerayang
pemasungan, pasung
pembocor, bocor
pembangkit, bangkit
penyepakan, sepak
pensilku, pensil
perandauan, randau
penyelenggaraannya, selenggara
penafsiran, tafsir
perserikatan, serikat
pimpinannya, pimpin
penajaan, taja
pelayan, layan
pekebun, kebun
penggerogotan, gerogot
perusakan, rusa
percintaannya, cinta
pendata, data
pembenaman, benam
penyampingan, samping
pedagang, dagang
pengetip, ketip
pengonsumsian, konsumsi
penguberan, uber
pendinamitan, dinamit
penjegal, jegal
pengeboran, bor
perobohan, roboh
penjulukan, juluk
penganduh, anduh
parang-parang, parang
percekcokan, cekcok
pendadakan, dada
perlebahan, lebah
putar-putar, putar
pencangkok, cangkok
pengetua, ketua
pendeknya, pendek
pemerkuatan, kuat
pelungguh, lungguh
pemilihan, pilih
pembobol, bobol
pintalan, pintal
penugasan, tugas
pemantik, mantik
penunggu, tunggu
pengulosan, ulos
pembuluh, buluh
pembajian, baji
pengertian, erti
peremajaan, remaja
pelajarnya, ajar
pengkhotbah, khotbah
percontoh, contoh
perasaan, asa
pengrusak, rusak
pewara, wara
pengilingan, iling
pelembut, lembut
perekayasa, rekayasa
penghilangan, hilang
penjengkekan, jengkek
pegiat, giat
perejah, rejah
pembungaan, bunga
periduan, idu
penambahan, tambah
persalinan, salin
pemikir, pikir
pendelegasi, delegasi
pengomel, omel
penyelera, selera
pemecah, pecah
pemanggilan, panggil
peneguh, teguh
pembuang, buang
penyandera, sandera
penyudetan, sudet
pemarah, marah
pemosisian, posisi
perintangan, rintang
percabangan, cabang
pengira, ira
penerapan, terap
penghimpunan, himpun
pesohor, sohor
pembenam, benam
penemu, temu
pengendara, kendara
pemadu, madu
penabalan, tabal
penjarah, jarah
pembinasaan, binasa
penjilatan, jilat
pemantun, pantun
penyadaran, sadar
penggarisan, garis
permukaan, muka
penarah, tarah
penyingkir, singkir
perceraian, cerai
penimbul, timbul
payahnya, payah
penyingkat, singkat
penguyupan, kuyup
perindustrian, industri
padahannya, padah
pembayarannya, bayar
pendengarannya, dengar
pengultusan, kultus
pengarak, arak
perubah, ubah
perkakaoan, kakao
perlimbahan, limbah
pendengar, dengar
persediaan, sedia
pengerasan, keras
pengkhianatan, khianat
pengukulan, kukul
penghina, hina
penggerak, gerak
penguntai, untai
penahiran, tahir
pelelang, lelang
penggembleng, gembleng
perjudian, judi
pengepuh, kepuh
pengindukan, indu
pembasahan, basah
penguntal, untal
penyepak, sepak
persawangan, sawang
pameran, pamer
penalaran, nalar
pemusingan, pusing
pemadaman, madam
penyumpah, sumpah
pembendung, bendung
penggunaannya, guna
pekeng, keng
pengebalan, kebal
perburuk, buruk
penggarong, garong
pengurangan, kurang
pencanai, canai
peminang, pinang
pengempisan, kempis
perbankan, perban
penggorok, gorok
pelituran, pelitur
penghukuman, hukum
pendewaan, dewa
penyobekan, sobek
pengafanan, kafan
pemburas, buras
pemanipulasian, manipulasi
pengadopsian, adopsi
pengepresan, pres
pengiris, kir
penyitaan, sita
perangkaan, angka
penyebar, sebar
pemandangan, pandang
penyerentakan, serenta
penyaliran, salir
pengakraban, akrab
peneman, tem
pendidih, didih
pengelolaan, kelola
penentangan, tentang
pengebom, bom
penuju, tuju
pepetek, petek
peturasan, turas
perkirakan, kira
pembastaran, bastar
pembobok, bobok
pengamatan, amat
pergelangan, gelang
pencukil, cukil
penyudet, sudet
pergelaran, gelar
penyajak, sajak
penelusuran, telusur
pelempengan, lempeng
pekalongan, kalong
pelumpuhan, lumpuh
pembersih, bersih
pendederan, deder
perangsangan, rangsang
penyaduran, sadur
penikam, tikam
punjungan, punjung
pengikut, ikut
pantangan, pantang
penarik, tarik
pegulat, gulat
pengimplementasi, implementasi
pembibit, bibit
pergigian, gigi
pengomongan, omong
penaskahan, naskah
pembaitan, bait
pegadaian, gadai
pembonsaian, bonsai
palungan, palung
pelimau, limau
penyundut, sundut
penahapan, tahap
pendobrak, dobrak
pertobatan, tobat
pengkristenan, kristen
pertiga, tiga
penghambaan, hamba
pengububan, ubub
penjadwalan, jadwal
pendiam, diam
pengungsian, ungsi
penangkalan, tangkal
perebutan, rebut
pendeportasian, deportasi
penceritaan, cerita
penyusup, susup
pelapukan, lapuk
pembudakan, budak
penengkar, tengkar
pengejut, kejut
pencemburu, cemburu
pendurhakaan, durhaka
pendataran, datar
pakainya, pakai
penghambat, hambat
peletakan, leta
pembusuk, busuk
pengikis, kikis
penadahan, tadah
perejang, rejang
pembosan, bos
pengabjadan, abjad
penyemprot, semprot
pematung, patung
pengulitan, ulit
pengetikan, keti
penghenti, henti
pembungkusnya, bungkus
pemerintan, intan
puteri, puter
padi-padian, padi
pijar-pijar, pijar
pengkomputeran, komputer
perbuatan, buat
penyantunan, santun
penertib, tertib
pengacakan, kaca
pengganggu, ganggu
pembikangan, bikang
perdukunan, dukun
pembungkus, bungkus
pengadu, adu
pemecahan, pecah
penggandal, gandal
perkerasan, keras
penggenangan, genang
pengobralan, obral
pembabat, babat
penyulapan, sulap
perampok, rampok
penahbisan, tahbis
perdua, dua
penguji, uji
pengembaraan, embara
pekedai, kedai
pencukuran, cukur
penyakap, sakap
pencoblos, coblos
penggantian, ganti
penjudi, judi
pemberhentian, henti
perkemahan, kemah
pemasaran, pasar
pendaduk, daduk
pemanasan, panas
pemersatu, satu
perlawanan, lawan
pengembusan, embus
penyemenan, semen
pemandu, pandu
pengoptimalan, optimal
penyirihan, sirih
pentung-pentungan, pentung
pertuturan, tutur
pemupuk, pupuk
penjepitan, jepit
penerbang, terbang
pengisat, kisat
pelaju, laju
perlangsungan, langsung
pengulang, ulang
perbautan, baut
pengalimatan, kalimat
puputan, puput
pengimunan, imun
perfusian, fusi
petuahnya, petuah
parasutnya, parasut
penyemat, semat
penggundulan, gundul
perbuahan, buah
pengembangan, kembang
pengecapan, kecap
pukul-memukul, pukul
perkintakaan, kintaka
pebisnis, bisnis
penggosip, gosip
penjarian, jari
peracik, acik
pemupuran, pupur
pemadatan, madat
pembening, bening
pehumor, humor
padanan, padan
penakut, takut
penyedih, sedih
pelirnya, pelir
penggodam, godam
pembelajaran, ajar
penaksiran, taksir
percopetan, copet
pergul, gul
pengangonan, angon
pelaksanaannya, laksana
perhiasanku, hias
perkampungan, kampung
persotoan, soto
pendapatku, dapat
penteng, teng
pembesut, besut
panggilanmu, panggil
penghinaan, hina
penarung, tarung
perancungan, rancung
perangkapan, perangkap
pecandu, candu
pengorbanan, korban
penyaring, nyaring
pengabur, abur
perupa, upa
pelesapan, lesap
perbatikan, bati
penghias, hias
penjiplak, jiplak
penempahan, tempah
pengias, kias
polesan, poles
pengeja, eja
penghujung, hujung
pengudusan, kudus
pergunakan, guna
pembujangan, bujang
penerjun, terjun
penggabus, gabus
perekayasaan, rekayasa
pementalan, mental
penyeleksian, seleksi
pengkultusan, kultus
pemelukan, peluk
peletusan, letus
peladenan, laden
pengidolaan, idola
pergosipan, gosip
pendaratan, darat
penanggalan, tanggal
penaja, taja
perenungan, renung
pembalas, balas
perjumpaannya, jumpa
penyambung, sambung
pemensiunan, pensiun
penghinaannya, hina
pengacauan, acau
pembedolan, bedol
peledaknya, ledak
pencekik, cekik
penyedap, sedap
pencalonan, calon
pedalaman, dalam
perzinaan, zina
pembeku, beku
pemercik, percik
pengikutnya, ikut
pengoordinasian, koordinasi
pebuatan, buat
perbatasan, batas
penyensoran, sensor
penebukan, tebu
pancaran, pancar
pelukaan, luka
permulaan, mula
perentang, rentang
pelanggeng, langgeng
penanjakan, tanjak
pemberangus, berangus
penggentar, gentar
penopang, topang
penganjuran, anjur
peminggiran, peminggir
pencarut, carut
penunggakan, tunggak
penyerimpung, serimpung
penakar, takar
penuai, tuai
pembasmian, basmi
pemegangan, pegang
penglihatan, lihat
penodong, todong
penggada, gada
pengetiman, tim
pemilahan, pilah
pengingau, ingau
pelipit, lipit
penyelundup, selundup
pejagalan, jagal
penyapuan, sapu
perantara, antara
pelintas, lintas
pelerai, lerai
penyeka, seka
pengintrusian, intrusi
pemfaktoran, faktor
pengabaran, abar
perasanan, asan
pandai-pandai, pandai
penyabunan, sabun
pepai, pai
pesalto, salto
pengilangan, kilang
pencagaran, cagar
pelarutan, larut
persawahan, sawah
pecahnya, pecah
pencucuran, cucur
paksaan, paksa
pengoksidan, oksidan
pemercantik, cantik
pertelaan, tela
pendaan, penda
pemandian, mandi
pertigaan, tiga
pemangsa, mangsa
pengintensifikasian, intensifikasi
pengusahaan, usaha
penggubahan, gubah
pencemaan, cema
penguaran, uar
penggilap, gilap
penyebaran, sebar
penyedot, sedot
perundang-undangan, undang
patutlah, patut
penyogokan, sogo
pemublikasian, publikasi
pelancong, lancong
pengkhayal, khayal
persilatan, silat
perbauran, baur
perekrutan, rekrut
pengayom, ayom
pemukat, pukat
penggantung, gantung
persembahkan, sembah
pembayangan, bayang
pemberondong, berondong
pengeduban, dub
pertambatan, tambat
pembaca, baca
pengetok, ketok
pelabuhan, labuh
pengasuransian, asuransi
perapi, api
perbualan, bual
pengeret, eret
pengkristalan, kristal
pertikaian, tikai
pemodalan, modal
pencadangan, cadang
persat, sat
penjelasannya, jelas
pemurtadan, murtad
perajutan, rajut
penegasan, tegas
pengharapan, harap
pemucatan, pucat
pemukulan, pukul
perbuatannya, buat
penyewa, sewa
penyempurnaan, sempurna
penanggung, tanggung
penyematan, semat
pelunauan, lunau
pelembap, lembap
pertenunan, tenun
penyumpitan, sumpit
penghantam, hantam
pertandaan, tanda
perandau, randau
penudingan, tuding
pencabangan, cabang
persenyawaan, senyawa
pengutus, utus
pengupas, kupas
penyengkang, sengkang
perseroan, persero
pengionan, ion
pedalang, dalang
pengentalan, kental
penderas, deras
pengarahan, arah
perkelahian, kelahi
pengasas, asas
pekerjaannya, kerja
perpangkatan, pangkat
peminat, minat
perjantanan, jantan
parunan, parun
pertandingan, tanding
pengisut, kisut
penarifan, tarif
penyemu, semu
penggagas, gagas
penyahutan, sahut
pebonsai, bonsai
penayangan, tayang
pengoplosan, oplos
perona, rona
penginterviu, interviu
persucian, suci
pengiraan, ira
perangaimu, perangai
pemukim, mukim
pelanjut, lanjut
peguyuban, guyub
pembatuan, batu
pelurus, lurus
perancang, ancang
penyosoh, sosoh
pembatalan, batal
penghuni, huni
puji-pujian, puji
pisang-pisang, pisang
penyahut, sahut
perambah, ambah
penipuan, tipu
penyantun, santun
penjelas, jelas
pengantaraan, antara
pelopak, lopak
pemunduran, mundur
pelaif, laif
persemadian, semadi
penyangkut, sangkut
pusatnya, pusat
pengaturan, atur
pelibatan, libat
perapat, rapat
penebus, tebus
pertinjuan, tinju
penyulaan, sula
penyerahan, serah
persenan, persen
pelistrikan, listrik
perapiannya, api
penembang, tembang
pemusik, musik
pengakreditasian, akreditasi
peransuman, ransum
penyemaian, semai
pesawatnya, pesawat
pura-pura, pura
persampahan, sampah
pengantaran, antar
pulanglah, pulang
penyingsetan, singset
peragiannya, ragi
pendosa, dosa
penokoh, tokoh
pembiasan, bias
penganekaan, aneka
penabung, tabung
pasaran, pasar
pembangkangan, bangkang
pemulangan, pulang
penggangsiran, gangsir
perkebunannya, kebun
pendiagonalan, diagonal
penggalan, penggal
penyelubungan, selubung
penggarang, garang
pekak-pekak, pekak
penikmat, nikmat
pertentaraan, tentara
pemindahan, pindah
penghabluran, hablur
peranjingan, anjing
penunggang, tunggang
pemitosan, mitos
persilakan, sila
perakyatan, rakyat
pertunjuk, tunjuk
pemungkur, mungkur
persarafan, saraf
perobotan, robot
persebadanan, badan
pengrawit, rawit
penuntasan, tuntas
penggemang, gemang
peremuk, remuk
pemodelan, model
pegolf, golf
pematuhan, patuh
permusyawaratan, musyawarat
peredam, redam
penangkar, tangkar
peneguhan, teguh
peraup, raup
penggusuran, gusur
punggungku, punggung
penyelar, selar
pengobatan, obat
pemaafan, maaf
pengintervensi, intervensi
pembina, bina
pengeluaran, keluar
penampung, tampung
pengisap, isap
pebiliar, biliar
penyurvei, survei
pencambukan, cambuk
pelengkung, lengkung
pesepeda, sepeda
pemertahanan, tahan
permahadutaan, mahaduta
persinggungan, singgung
pengklonaan, klona
pembaikan, baik
pemindaan, pinda
penanda, tanda
pergandaan, ganda
pengebat, kebat
pengomersialan, komersial
pertanyaan, tanya
pengotor, kotor
pengutipan, kutip
penertiban, tertib
pertunaian, tunai
pertunjukkan, tunjuk
penangkis, tangkis
pusar-pusar, pusar
penyertifikatan, sertifikat
pemenang, menang
penyerbukan, serbu
perangainya, perangai
pemancingan, pancing
pencerapan, cerap
pembiasaan, biasa
penumbuk, tumbuk
perhotelan, hotel
perisau, risau
pengabar, abar
pencetusan, cetus
pengangguk, angguk
pemujanya, puja
pewargaan, warga
perbanyakan, banyak
padanya, pada
pemberian, beri
paling-paling, paling
penyanjung, sanjung
penyalut, salut
penopikan, topi
pinangan, pinang
pendadihan, dadih
penyebutan, sebut
pegadai, gadai
pencanggihan, canggih
penyandar, sandar
pencepatan, cepat
penyuspensi, suspensi
polimerisme, polimer
penggilingan, giling
pemaksaan, paksa
pemekaran, mekar
penukar, tukar
pengerangkaan, kerangka
penyambutan, sambut
pelincir, lincir
pelanggan, langgan
panganan, pangan
pertolehan, toleh
pengucuran, kucur
penyebukan, sebu
penyidik, sidik
petenis, tenis
penghitung, hitung
perambahan, ambah
pembuatan, buat
pembebat, bebat
peralatan, alat
pemasyhuran, masyhur
pengabulan, kabul
pesiapan, siap
pemutasian, mutasi
penebusan, tebus
pihaknya, pihak
persabungan, sabung
penyearah, arah
petatar, tatar
pengobatannya, obat
peredaan, reda
pengatalogan, katalog
penjumlah, jumlah
penambang, tambang
pengetaman, ketam
pengarip, arip
penyaweran, sawer
penebaran, tebar
penyilangan, silang
pedansa, dansa
pencangking, cangking
pencaharian, cahari
pembantu, bantu
pemercontoh, contoh
penderita, derita
pendepakan, depa
pengemudinya, mud
penaklukan, takluk
pencarter, carter
penyelundupan, selundup
pengguludan, gulud
perundingan, runding
perkulitan, kulit
penyambit, sambit
penggangsir, gangsir
pertumbukan, tumbu
penurun, turun
penggelap, gelap
penelanjangan, telanjang
penggerebekan, gerebek
pengklaim, klaim
pengidap, idap
peracunan, racun
perincis, rincis
pengemudian, kemudi
persalaman, salam
pelipur, lipur
penggamang, gamang
pengarangan, arang
penetes, tetes
pengarakan, ara
penyelusuran, selusur
pemberangsang, berangsang
pengurasan, uras
persentuhan, sentuh
pengurus, urus
penutut, tutut
pemain, main
perarai, arai
pembingkaian, bingkai
permintaannya, minta
pengayak, ayak
pemotret, potret
pengaruhnya, pengaruh
pengabsahan, absah
penggantungan, gantung
pengheningan, hening
pergerakan, gera
pesandaran, sandar
pengganas, ganas
penginvestigasi, investigasi
pembolos, bolos
pemberokan, berok
penggolong, golong
penyerbukannya, serbu
penghibah, hibah
pertembakauan, tembakau
perlengkapan, lengkap
peroncean, once
pekatan, pekat
pengoperasi, operasi
pengilat, ilat
perdebatan, debat
pembenahan, benah
perbabilan, babil
penyerempet, serempet
perempat, empat
penembakan, tembak
pelubang, lubang
pendindingan, dinding
penyirep, sirep
pernaskahan, naskah
pengalamannya, alam
pemasteran, master
penyerasian, serasi
penyalutan, salut
penapaian, tapai
pelengseng, lengseng
pembatik, batik
pemblokir, blokir
penyajiannya, saji
pertukaran, tukar
pengerek, kerek
pemolitikan, politik
pengapalan, kapal
penggemukan, gemuk
pengapungan, apung
persewaan, sewa
penampikan, tampi
perintian, inti
perlepasan, lepas
penudungan, tudung
pengajian, aji
pelangsing, langsing
pendagi, dagi
peroketan, roket
pemberantakkan, berantak
pembalikan, balik
pemboncengan, bonceng
perintang-rintang, rintang
persimpangan, simpang
pembundaran, bundar
penganggaran, anggar
persilihan, silih
pendamar, damar
pernik-pernik, pernik
penyelamatan, selamat
pencegahan, cegah
penyakit, sakit
perpecahan, pecah
penjaringan, jaring
pemacik, pacik
pemauk, pauk
pengecatan, cat
permuseuman, museum
pemerahan, merah
pertimbangan, timbang
puing-puing, puing
penyembah, sembah
pembujukan, bujuk
penandukan, nandu
pemantas, pantas
pertinggal, tinggal
pendinamis, dinamis
perpanduan, pandu
pendayaan, daya
penyampoan, sampo
penitip, titip
pemotong, potong
pengunjukan, unjuk
pengupam, upam
pegaraman, garam
pengantar, antar
pencebak, cebak
penghirupan, hirup
perhinggaan, hingga
penipu, tipu
perajaman, rajam
perbedaan, beda
perkemasan, kemas
pesumo, sumo
peloncat, loncat
pengutamaan, utama
palingan, paling
perdarahan, darah
penyusun, susun
penendang, tendang
pumpunan, pumpun
pelengkap, lengkap
penyabot, sabot
pemantau, pantau
perhambaan, hamba
pendramaan, drama
penyaukan, sau
pembiasannya, bias
persimpanan, simpan
pemborosan, boros
pemberang, berang
pengitaran, kitar
potong-potong, potong
percepatan, cepat
pemasakan, masa
peluhnya, peluh
penyunatan, sunat
pengklipingan, kliping
pusaran, pusar
petualang, tualang
pengentasan, entas
pengasumsian, asumsi
pencantuman, cantum
perletakan, leta
peledak, ledak
petiduran, tidur
peluluhan, luluh
piut-miut, piut
pengosongan, kosong
panjangnya, panjang
petakziah, takziah
pembuktian, bukti
penyanggahan, sanggah
penalang, talang
pengorak, orak
pengincar, incar
pelantak, lantak
pembengkok, bengkok
pengaduk, aduk
pengoboran, obor
pendarat, darat
pendakian, daki
penjinak, jinak
penghijrahan, hijrah
pemelesetan, meleset
pemanufakturan, manufaktur
pemulas, mulas
pengelompokan, kelompok
padahan, padah
permalaman, malam
pengecam, kecam
pembohong, bohong
pervaginaan, vagina
penganjakan, anja
penyuluhan, suluh
pertahunan, tahun
pengunggis, unggis
penyula, sula
penjamah, jamah
pemodifikasi, modifikasi
penerjunan, terjun
penelaahan, telaah
pengemulsi, emulsi
pengurai, urai
pergulaan, gula
penjangat, jangat
pengandam, andam
penyelenggara, selenggara
penganti, anti
pertenisan, tenis
pengalam, alam
penggilasan, gilas
peluncuran, luncur
pemangkuan, pangku
penganutnya, anut
penenteraman, tenteram
perbungaan, bunga
pernujuman, nujum
pemulauan, pulau
penginstruksian, instruksi
pengurungan, urung
penebas, tebas
penggendam, gendam
pemakaiannya, pakai
pasungan, pasung
pengonsep, konsep
pemerkosa, perkosa
penyehat, sehat
pewantek, wantek
penyepian, nyepi
perobekan, robek
pengadon, adon
penjiplakan, jiplak
penganalogian, analogi
perbentaran, bentar
pengentak, entak
penyetor, setor
penernakan, terna
pembaktian, bakti
penggesekan, gesek
perumus, rumus
pengencangan, encang
pelembagaan, lembaga
pelindungan, lindung
pergulatan, gulat
penugas, tugas
pencacatan, cacat
penjolok, jolok
pisahan, pisah
permodalan, modal
pevoli, voli
penai, pena
pedukuhan, dukuh
penyambar, sambar
perubahannya, ubah
pemasang, pasang
persejajaran, sejajar
penonjok, tonjok
pertunangannya, tunang
pelenturan, lentur
pendongeng, dongeng
perjalanan, jalan
pakunya, paku
peninggian, tinggi
pencoleng, coleng
pemakaman, makam
pemajang, pajang
penafkahan, nafkah
pembaji, baji
pabriknya, pabrik
penceraian, cerai
pengikan, ikan
perserupaan, rupa
penyifatan, sifat
pemindah, pindah
penyuap, suap
pemutihan, mutih
penginterniran, internir
pangkalan, pangkal
pewawancara, wawancara
penjajakan, jaja
pingitan, pingit
peluntur, luntur
perawangan, awang
perpajakan, paja
penyetuman, setum
pencabul, cabul
penyangkal, sangkal
penampilannya, tampil
pendabihan, dabih
pemajak, pajak
putarannya, putar
pertanyaannya, tanya
pengasongan, asong
persangkutan, sangkut
pengayuhnya, kayuh
pengandaian, andai
penjajahan, jajah
perhiasannya, hias
penjumlahan, jumlah
penjabaran, jabar
pengoperan, oper
penyulingan, suling
pematangan, pematang
perabuan, abu
pengolah, olah
persekongkolan, sekongkol
permodelan, model
pemberhasil, hasil
pemberatan, berat
pemarunan, parun
pemahatan, pahat
perhumasan, humas
penangguhan, tangguh
persajakan, saja
perkenan, ken
penyeleweng, seleweng
pembubutan, bubut
pengiritan, irit
pengorekan, korek
penyedia, sedia
pencampur, campur
porosnya, poros
penggempur, gempur
penumpangnya, tumpang
peboling, boling
perwakilan, wakil
perselisihan, selisih
penyamak, samak
pengecap, kecap
perimbangan, imbang
pungutan, pungut
pemangkatan, mangkat
penyelisikan, selisik
perompakan, perompak
penumpas, tumpas
pemanduan, pandu
penetekan, tetek
pengayauan, kayau
perlawanannya, lawan
perkaretan, karet
penyidikan, sidi
penjenisan, jenis
panaskanlah, panas
pertualangan, tualang
pengundi, undi
peliputan, liput
penginterogasian, interogasi
pelaporan, lapor
penggolongan, golong
perguaman, guam
pengumpil, umpil
penghayat, hayat
penggunting, gunting
percukongan, cukong
perempun, rem
penggalas, galas
peselam, selam
penyadur, sadur
persiraman, siram
pesolok, solok
pembobolan, bobol
pekartun, kartun
penyegeraan, segera
penggemar, gemar
pembahan, bah
pemah, mah
pembaringan, baring
pemalit, palit
penyeberang, seberang
periksaan, periksa
pewartaan, warta
penalaan, nala
patinya, pati
pembarut, barut
perambat, rambat
pengawas, awas
pembobotan, bobot
pemompaan, pompa
pembenihan, benih
penghutanan, hutan
permasyarakatan, masyarakat
penggugup, gugup
penderasan, deras
perekat, rekat
perlakuan, laku
perhatikan, perhati
pelimbang, limbang
penasihat, nasihat
pemecahannya, pecah
picitan, picit
pemunggahan, punggah
pemanggil, panggil
pendidihan, didih
pembaptis, baptis
pengering, ering
pengantinnya, pengantin
pengatalog, katalog
penyiapan, siap
pencangkokan, cangkok
pengangkut, angkut
persendian, sendi
penerbit, terbit
penggiliran, gilir
pengoperasian, operasi
pohon-pohonan, pohon
penyeteman, setem
peningkah, pening
perukunan, rukun
penembak, tembak
pengundang-undang, undang
penetralan, netral
perjamuan, jamu
pengabsenan, absen
pengeroyokan, keroyok
pindahan, pindah
pengutuhan, utuh
penghakiman, hakim
pengindraan, indra
penetesan, tetes
pembatasan, batas
pemblokadean, blokade
pajanan, pajan
peninjau, tinjau
penggumpalan, gumpal
peselancar, selancar
pembandingan, banding
pengujung, ujung
perekrut, rekrut
pengabai, abai
perusa, rusa
penganalisis, analis
perkenanan, kenan
predikatnya, predikat
pengupayaan, upaya
perengkahan, engkah
penjorok, jorok
pembugaran, bugar
penyabitan, sabit
polongan, polong
pengandak, andak
pendukunan, dukun
pemberondongan, berondong
pemincangan, pincang
pendapun, penda
pencairan, cair
pelarai, larai
penginap, inap
pelantang, lantang
pekuburan, kubur
penganalisisan, analisis
pelingkupan, lingkup
pelarik, larik
pengornamenan, ornamen
pengasuhnya, asuh
pertabiban, tabib
penapis, tap
penjilid, jilid
pembacokan, baco
pendeskripsian, deskripsi
pengejaan, eja
pengulasan, ulas
pemotivasi, motivasi
penambalan, tambal
pengakhiran, akhir
pohonnya, pohon
penggandar, gandar
pemure, pure
pemenggal, penggal
pengganti, ganti
penonaktifan, nonaktif
pemilik, milik
pemanis, man
perhelatan, helat
panennya, panen
pembagiannya, bagi
pengasak, asak
pencilok, cilok
pendaman, pendam
pemacuan, pacu
perlanjutan, lanjut
penyogok, sogok
perkiraan, kira
pahatan, pahat
peluasan, luas
pergurauan, gurau
pikiranku, pikir
padatan, padat
profesinya, profesi
penempa, tempa
politisi, politis
puntalan, puntal
pembual, bual
pertuanan, tuan
penjemuran, jemur
pemuka, muka
pengawet, awet
pelumuran, lumur
pernyataannya, nyata
pengangkutan, angkut
pikatan, pikat
penyemangat, semangat
penyisteman, sistem
pelambanan, lamban
pemerincian, perinci
pekerjaanku, kerja
penyulut, sulut
pengklisean, klise
pelubangan, lubang
perkencingan, kencing
penempaan, tempa
pemudik, mudik
penyundul, sundul
penyimpanan, simpan
pengabuan, abu
pengamba, kamba
